accuracy       [n.准确(性)，精确(性)]
acquaintance   [n.认识,相识,了解;相识的人,熟人]
adequate       [a.充足的,足够的;适当的,胜任的]
admission      [n.准许进入，准许加入;承认，供认]
adventure      [vt.大胆进行，拿…冒风险 n.冒险活动，冒险，奇遇]
advertisement  [n.(=ad)广告]
advice         [n.忠告，劝告，意见]
Africa         [n.非洲]
agent          [n.代理人，代理商，代表]
agreeable      [adj.令人愉快的，宜人的;易相处的]
agreement      [n.达成协定，协议;同意，一致]
aircraft       [n.飞机，航空器]
alphabet       [n.字母表]
altogether     [adv.完全，全部;总起来说，总之;总共]
amaze          [vt.使惊奇，使惊愕;使迷惑，使困惑 vi.表现出惊奇]
ambassador     [n.大使; (派驻国际组织的)代表; 特使]
amount         [n.数量，数额，总数 vi.(to)合计，共计;等同，接近]
anger          [vt.使发怒，激怒 vi.发怒 n.愤怒，气愤]
apparent       [adj.显而易见的;表面的，看起来]
appearance     [n.外表，出现，露面，出场; 外观，外貌]
applicable     [adj.适当的，合适的，可应用的]
approach       [vt.走近，接近 vi.接近，临近 n.靠近，方法，途径，探讨]
appropriate    [adj.恰当的，合宜的]
approval       [n.同意，批准，赞同]
approximate    [adj.大约，大致，近似的 vi.( to)近似，接近]
arithmetic     [n.算术，计算]
arouse         [vt.引起，激起，唤起;唤醒]
assess         [vt.对•••进行估价，评价]
assist         [vt.协助，帮助，促进 vi.帮忙，参加]
assure         [vt.向•••保证，使有保证，使确信]
astronomy      [n.天文学]
athlete        [n.运动员，体育家，身强力壮的人]
Atlantic       [adj.大西洋的 n.(the)大西洋]
attendant      [n.服务员，值班员，护理人员，侍从]
attribute      [vt.(to)把...归因于，把…归咎于 n.属性，特征]
autumn         [n.秋天，秋季]
awake          [adj.醒着的 vt.唤醒;使觉醒 vi.醒，觉醒，醒悟到]
ax(e)          [n.斧子]
balloon        [n.气球]
barrier        [n.; 障碍物，屏障; 界线]
beach          [n.海滩，湖滩，河滩]
beggar         [n.乞丐，穷人]
behalf         [n.代表；利益]
behave         [vi.行为，表现，举止; 规规矩矩; 运转，开动]
believe        [v.相信，笃信; 认为，猜想]
beneath        [prep.在…下面，在…下方 adv•••在下面，往•••下面]
betray         [vt.背叛，出卖，不忠于; 泄露，显露出]
bicycle        [n.自行车]
bind           [v.捆绑; 束缚; 用绷带包扎 n.捆绑（物）]
bite           [v./n.咬,叮]
bitter         [adj.苦的，痛苦的，激烈的]
bloom          [n.花; 最佳时期; 开花 vi.开花; 繁盛]
boast          [n.自吹自擂，自夸 vi.自夸，自吹自擂，夸耀 vt.夸口说;以拥有…而自豪]
bold           [adj.大胆的，勇敢的，冒失的]
bond           [n.联结，结合(力)，约束(力);公债，债券，契约，合同 vt.为...作保 vi.结合]
boost          [vt.提高; 增加; 鼓励，促进 n.推起; 增加，改进; 促进，激励]
border         [n.边，边缘，界线;边界，边境]
bounce         [v.(使)弹起，(使)反弹，(使)颠跳 n.弹,反弹]
brave          [adj.勇敢的]
brick          [n.砖，砖状物]
brilliant      [adj.光辉的，灿烂的，明亮的; 杰出的，才华横溢的，辉煌的]
budget         [n.预算，预算案 vt.把…编入预算; 安排，预定 vi.节省开支 adj.合算的，廉价的]
business       [n.商业，生意;事务]
calendar       [n.日历，月历]
Canadian       [adj.加拿大的;加拿大人的 n.加拿大人]
canal          [n.运河，渠道]
canoe          [n.独木舟，小游艇]
capital        [n.资本,资金;首都;大写字母a.主要的,基本的]
careless       [adj.粗心的，疏忽的]
cassette       [n.盒式录音带]
catch          [vt.捉住；抓住；赶上，追上；听清楚，领会；染上，感染]
category       [n.种类，部署，类目; （数）范畴，类型; （哲）范畴]
cautious       [adj.细心的，谨慎的]
cement         [n.水泥，胶泥，胶接剂 v.胶合，巩固]
centimeter     [n.厘米]
certainly      [adv.必定，一定；当然，行]
characteristic [a.特有的，典型的 n.特性，特征]
chemistry      [n.化学]
chess          [n.棋]
chest          [n.胸,胸腔;柜子,橱]
chicken        [n.鸡，鸡肉]
Christian      [n.基督教徒]
circuit        [n.电路,线路; 环行,巡回]
circus         [n.马戏，马戏团；马戏场，杂技场]
clap           [vi.鼓掌，拍手 vt.（友善地）拍 n.鼓掌，霹雳声]
climb          [v.爬；攀登；上升 n.爬；攀登]
clothe         [v.给...穿衣服，给...提供衣服]
coarse         [adj.粗糙的；粗俗的；下等的]
college        [n.大学，学院]
colour         [n.颜色，彩色;颜料 v.给...着色，染色]
combat         [vi.战斗；格斗 vt.与…斗争；与…战斗]
commission     [n.; 委员会；;委托，委任；;委托书，委托的事；;佣金，手续费]
commitment     [n; 信奉，献身; 交押，收监; 承诺，保证]
comparative    [comparison     [n.比较，对照；比拟]
competition    [n.竞争，比赛]
competitive    [adj.; 竞争的; 好竞争的; （价格等的）有竞争力的]
complicated    [a.复杂的，难懂的]
component      [n.(组)成（部）分，部件，元件 adj.组成的，构成的]
comprehension  [n.理解（力），领悟]
compromise     [n.妥协，折衷办法 vi.妥协]
comrade        [n.同志，同伴，朋友]
conceal        [vt.藏，隐藏，隐瞒，不表露]
concern        [vt.关于,关系到,涉及,牵涉; 关心,挂念 n.关心,关怀,关心的事; 利害关系]
concert        [n.音乐会，演奏会; 一齐，一致]
concrete       [n.混凝土 adj.具体的，实质性的]
condemn        [vt.谴责，指责; 判刑，定罪]
conductor      [n.乐队指挥，领队; 销售员，列车员; 导（电）体]
conference     [n.会议，讨论会]
confess        [vt.承认，坦白 vi.承认，坦白，忏悔]
confidence     [n.; 信心，自信; 秘密，机密]
confine        [vt.; 把……限制在（某范围内），局限于; 管制，禁闭]
conflict       [n.斗争，战斗；冲突，矛盾，抵触，（和……）矛盾，冲突，有分歧]
congress       [n.; 代表大会; 国会，议会]
conquer        [vt.征服，克服，战胜]
consistent     [adj.坚持的，一贯的；一致的，符合的]
constitute     [vt.组成，构成，成分]
constitution   [n.章程,宪法;体质,素质;构造]
consumption    [n.消耗量，消费量；消耗，消费]
contemporary   [adj.同时期的，当代的，现代的 n.同代的人，同时期的人，同辈]
continent      [n.大陆,洲]
continual      [adj.不断的，经久不息的，频繁的]
contradiction  [n.; 矛盾; 反驳，顶嘴]
contrary       [adj.相反的 n.相反（事物），对立面]
controversial  [adj.引起争论的，有争议的]
controversy    [n.争论，辩论]
convention     [n.大会，会议; 习俗，常规，惯例; 公约，协定]
conversation   [n.(友好,随便的)谈话,会话]
conversely     [adv.逆; 相反地]
convert        [v.使改变信仰, 倒置, 兑换; 转变, 变换]
convey         [vt.运送，输送，传送；;传达，表达，传播]
conviction     [n.定罪, 坚信, 信服]
convince       [v.说服, 使相信]
cooperate      [v.合作, 协作; 配合]
coordinate     [n.同等者; 坐标; 同等物 v.调整; 整理; 协调一致, 协同动作]
correspond     [v.(to, with)相符合,成一致;(to)相当,相类似;(with)通信]
corridor       [n．走廊]
cotton         [n.棉，棉花；棉线，棉纱]
couch          [n.睡椅，卧榻]
council        [n.委员会，理事]
criminal       [adj.刑事的，犯罪的 n.罪犯，刑事犯]
critic         [n.批评家，评论家]
crucial        [adj.至关重要的，决定性的]
cruel          [adj.残酷的，残忍的]
crystal        [n.结晶，晶体；水晶；水晶饰品 adj.水晶的；透明的，清澈的]
cube           [n.立方形，立方体; 立方，三次幂]
cunning        [adj.狡猾的；巧妙的；可爱的 n.狡猾]
curiosity      [n.好奇，好奇心；珍品，古董，古玩]
curl           [vt.&vi.卷曲，卷发状的东西]
curse          [vt.&vi.诅咒，咒骂 n.诅咒，骂]
damage         [vt.毁坏，使受损害]
debate         [n.辩论, 讨论]
deceit         [n.欺骗; 谎言]
declaration    [n.宣告, 宣布, 说明]
